code,treatment,strength,route
52427-383-90,Atenolol,100 mg/1,
52427-382-90,Atenolol,50 mg/1,
52427-430-90,Atenolol,50 mg/1,ORAL
52427-431-90,Atenolol,100 mg/1,ORAL
52427-429-90,Atenolol,25 mg/1,ORAL
60429-753-01,Betaxolol,10 mg/1,ORAL
24658-700-01,Betaxolol,10 mg/1,ORAL
24658-701-01,Betaxolol,20 mg/1,ORAL
42806-038-01,Betaxolol,10 mg/1,ORAL
17478-705-10,Betaxolol,5 mg/mL,OPHTHALMIC
17478-705-11,Betaxolol,5 mg/mL,OPHTHALMIC
17478-705-12,Betaxolol,5 mg/mL,OPHTHALMIC
17478-705-25,Betaxolol,5 mg/mL,OPHTHALMIC
42806-039-01,Betaxolol,20 mg/1,ORAL
42806-039-10,Betaxolol,20 mg/1,ORAL
42806-038-10,Betaxolol,10 mg/1,ORAL
61314-245-01,Betaxolol,5.6 mg/mL,OPHTHALMIC
61314-245-02,Betaxolol,5.6 mg/mL,OPHTHALMIC
61314-245-03,Betaxolol,5.6 mg/mL,OPHTHALMIC
10702-013-01,Betaxolol,10 mg/1,ORAL
10702-014-01,Betaxolol,20 mg/1,ORAL
0065-0246-10,Betaxolol,2.8 mg/mL,OPHTHALMIC
0065-0246-15,Betaxolol,2.8 mg/mL,OPHTHALMIC
68788-8151-1,Carvedilol,12.5 mg/1,ORAL
68788-8151-3,Carvedilol,12.5 mg/1,ORAL
68788-8151-6,Carvedilol,12.5 mg/1,ORAL
68788-8151-9,Carvedilol,12.5 mg/1,ORAL
51407-040-01,Carvedilol,6.25 mg/1,ORAL
68788-9265-6,Carvedilol,25 mg/1,ORAL
55111-252-05,Carvedilol,3.125 mg/1,ORAL
55111-253-01,Carvedilol,6.25 mg/1,ORAL
55111-253-10,Carvedilol,6.25 mg/1,ORAL
55111-255-10,Carvedilol,25 mg/1,ORAL
71335-1623-1,Carvedilol,25 mg/1,ORAL
71335-1623-2,Carvedilol,25 mg/1,ORAL
71335-1623-3,Carvedilol,25 mg/1,ORAL
71335-1623-4,Carvedilol,25 mg/1,ORAL
71335-1623-5,Carvedilol,25 mg/1,ORAL
71335-1623-6,Carvedilol,25 mg/1,ORAL
68788-9789-3,Carvedilol,6.25 mg/1,ORAL
68382-092-01,Carvedilol,3.125 mg/1,ORAL
50090-1856-0,Carvedilol,3.125 mg/1,ORAL
50090-1856-1,Carvedilol,3.125 mg/1,ORAL
50090-1856-2,Carvedilol,3.125 mg/1,ORAL
50090-1856-3,Carvedilol,3.125 mg/1,ORAL
65841-618-05,Carvedilol,12.5 mg/1,ORAL
65841-619-01,Carvedilol,25 mg/1,ORAL
55111-254-10,Carvedilol,12.5 mg/1,ORAL
55111-254-30,Carvedilol,12.5 mg/1,ORAL
71335-1813-7,Carvedilol,12.5 mg/1,ORAL
61919-533-30,Carvedilol,25 mg/1,ORAL
61919-533-90,Carvedilol,25 mg/1,ORAL
63187-131-90,Carvedilol,25 mg/1,ORAL
71335-0034-2,Carvedilol,3.125 mg/1,ORAL
68788-8177-3,Carvedilol,6.25 mg/1,ORAL
68788-8177-6,Carvedilol,6.25 mg/1,ORAL
68788-8177-9,Carvedilol,6.25 mg/1,ORAL
0615-8018-30,Carvedilol,6.25 mg/1,ORAL
0615-8018-39,Carvedilol,6.25 mg/1,ORAL
42708-072-60,Carvedilol,3.125 mg/1,ORAL
65841-616-01,Carvedilol,3.125 mg/1,ORAL
65841-616-05,Carvedilol,3.125 mg/1,ORAL
65841-616-17,Carvedilol,3.125 mg/1,ORAL
65841-617-17,Carvedilol,6.25 mg/1,ORAL
70518-0426-1,Carvedilol,6.25 mg/1,ORAL
65862-143-99,Carvedilol,6.25 mg/1,ORAL
68462-162-01,Carvedilol,3.125 mg/1,ORAL
68462-162-18,Carvedilol,3.125 mg/1,ORAL
68462-162-60,Carvedilol,3.125 mg/1,ORAL
68462-163-05,Carvedilol,6.25 mg/1,ORAL
68462-163-60,Carvedilol,6.25 mg/1,ORAL
68462-165-05,Carvedilol,25 mg/1,ORAL
70518-0356-1,Carvedilol,12.5 mg/1,ORAL
70934-910-60,Carvedilol,6.25 mg/1,ORAL
70934-910-90,Carvedilol,6.25 mg/1,ORAL
68382-092-05,Carvedilol,3.125 mg/1,ORAL
68382-093-17,Carvedilol,6.25 mg/1,ORAL
63187-409-60,Carvedilol,25 mg/1,ORAL
63187-447-60,Carvedilol,12.5 mg/1,ORAL
63187-424-60,Carvedilol,6.25 mg/1,ORAL
63187-941-60,Carvedilol,3.125 mg/1,ORAL
63187-941-90,Carvedilol,3.125 mg/1,ORAL
51655-033-26,Carvedilol,25 mg/1,ORAL
68788-7910-1,Carvedilol,25 mg/1,ORAL
68788-7910-3,Carvedilol,25 mg/1,ORAL
68788-7910-6,Carvedilol,25 mg/1,ORAL
68788-7910-9,Carvedilol,25 mg/1,ORAL
71335-0034-3,Carvedilol,3.125 mg/1,ORAL
71335-0034-6,Carvedilol,3.125 mg/1,ORAL
68001-152-00,Carvedilol,25 mg/1,ORAL
68001-154-00,Carvedilol,6.25 mg/1,ORAL
60760-235-60,Carvedilol,25 mg/1,ORAL
43063-126-60,Carvedilol,3.125 mg/1,ORAL
76385-112-50,Carvedilol,12.5 mg/1,ORAL
65841-618-01,Carvedilol,12.5 mg/1,ORAL
68071-2633-3,Carvedilol,3.125 mg/1,ORAL
68071-2633-6,Carvedilol,3.125 mg/1,ORAL
68071-2633-8,Carvedilol,3.125 mg/1,ORAL
68071-2633-9,Carvedilol,3.125 mg/1,ORAL
65862-142-01,Carvedilol,3.125 mg/1,ORAL
65862-145-05,Carvedilol,25 mg/1,ORAL
65862-145-99,Carvedilol,25 mg/1,ORAL
68071-3078-3,Carvedilol,25 mg/1,ORAL
68071-3078-6,Carvedilol,25 mg/1,ORAL
68071-3078-9,Carvedilol,25 mg/1,ORAL
68071-2230-8,Carvedilol,12.5 mg/1,ORAL
68462-162-10,Carvedilol,3.125 mg/1,ORAL
68462-165-10,Carvedilol,25 mg/1,ORAL
63187-409-90,Carvedilol,25 mg/1,ORAL
68071-3151-3,Carvedilol,12.5 mg/1,ORAL
68071-3151-6,Carvedilol,12.5 mg/1,ORAL
68071-3151-9,Carvedilol,12.5 mg/1,ORAL
68071-5275-8,Carvedilol,6.25 mg/1,ORAL
68071-3269-3,Carvedilol,6.25 mg/1,ORAL
68071-3269-6,Carvedilol,6.25 mg/1,ORAL
68071-3269-8,Carvedilol,6.25 mg/1,ORAL
68071-3269-9,Carvedilol,6.25 mg/1,ORAL
43063-129-60,Carvedilol,25 mg/1,ORAL
70518-0426-0,Carvedilol,6.25 mg/1,ORAL
70518-0426-3,Carvedilol,6.25 mg/1,ORAL
65862-142-99,Carvedilol,3.125 mg/1,ORAL
65862-144-05,Carvedilol,12.5 mg/1,ORAL
71610-062-60,Carvedilol,3.125 mg/1,ORAL
71610-063-53,Carvedilol,6.25 mg/1,ORAL
50090-2119-0,Carvedilol,25 mg/1,ORAL
50090-2119-3,Carvedilol,25 mg/1,ORAL
50090-2119-4,Carvedilol,25 mg/1,ORAL
65862-143-01,Carvedilol,6.25 mg/1,ORAL
65862-143-05,Carvedilol,6.25 mg/1,ORAL
51079-771-20,Carvedilol,3.125 mg/1,ORAL
55154-5677-0,Carvedilol,3.125 mg/1,ORAL
71335-1457-1,Carvedilol,6.25 mg/1,ORAL
71335-1457-2,Carvedilol,6.25 mg/1,ORAL
71335-1457-3,Carvedilol,6.25 mg/1,ORAL
71335-1457-4,Carvedilol,6.25 mg/1,ORAL
71335-1457-5,Carvedilol,6.25 mg/1,ORAL
71335-1457-6,Carvedilol,6.25 mg/1,ORAL
71335-1457-7,Carvedilol,6.25 mg/1,ORAL
71335-1457-8,Carvedilol,6.25 mg/1,ORAL
61919-984-30,Carvedilol,6.25 mg/1,ORAL
68788-7883-1,Carvedilol,6.25 mg/1,ORAL
68788-7883-3,Carvedilol,6.25 mg/1,ORAL
68788-7883-6,Carvedilol,6.25 mg/1,ORAL
68788-7883-8,Carvedilol,6.25 mg/1,ORAL
68788-7883-9,Carvedilol,6.25 mg/1,ORAL
50090-4171-0,Carvedilol,25 mg/1,ORAL
50090-4171-1,Carvedilol,25 mg/1,ORAL
50090-4171-4,Carvedilol,25 mg/1,ORAL
68382-093-01,Carvedilol,6.25 mg/1,ORAL
68382-093-05,Carvedilol,6.25 mg/1,ORAL
68382-095-05,Carvedilol,25 mg/1,ORAL
65841-617-01,Carvedilol,6.25 mg/1,ORAL
65841-619-05,Carvedilol,25 mg/1,ORAL
68645-350-59,Carvedilol,6.25 mg/1,ORAL
50090-4898-0,Carvedilol,25 mg/1,ORAL
68462-162-05,Carvedilol,3.125 mg/1,ORAL
68462-164-01,Carvedilol,12.5 mg/1,ORAL
68462-164-18,Carvedilol,12.5 mg/1,ORAL
55111-252-30,Carvedilol,3.125 mg/1,ORAL
55111-253-05,Carvedilol,6.25 mg/1,ORAL
71335-2023-1,Carvedilol,25 mg/1,ORAL
71610-062-80,Carvedilol,3.125 mg/1,ORAL
71335-2023-2,Carvedilol,25 mg/1,ORAL
71335-2023-3,Carvedilol,25 mg/1,ORAL
71335-2023-4,Carvedilol,25 mg/1,ORAL
71335-2023-5,Carvedilol,25 mg/1,ORAL
71335-2023-6,Carvedilol,25 mg/1,ORAL
71335-2023-7,Carvedilol,25 mg/1,ORAL
71335-2026-1,Carvedilol,12.5 mg/1,ORAL
71335-2026-2,Carvedilol,12.5 mg/1,ORAL
71335-2026-3,Carvedilol,12.5 mg/1,ORAL
71335-2026-4,Carvedilol,12.5 mg/1,ORAL
71335-2026-5,Carvedilol,12.5 mg/1,ORAL
71335-2026-6,Carvedilol,12.5 mg/1,ORAL
71335-2026-7,Carvedilol,12.5 mg/1,ORAL
71335-2033-1,Carvedilol,6.25 mg/1,ORAL
71335-2033-2,Carvedilol,6.25 mg/1,ORAL
71335-2033-3,Carvedilol,6.25 mg/1,ORAL
71335-2033-4,Carvedilol,6.25 mg/1,ORAL
71335-2033-5,Carvedilol,6.25 mg/1,ORAL
71335-2033-6,Carvedilol,6.25 mg/1,ORAL
71335-2033-7,Carvedilol,6.25 mg/1,ORAL
71335-2033-8,Carvedilol,6.25 mg/1,ORAL
71335-0368-1,Carvedilol,12.5 mg/1,ORAL
71335-0368-2,Carvedilol,12.5 mg/1,ORAL
71335-0368-3,Carvedilol,12.5 mg/1,ORAL
71335-0368-4,Carvedilol,12.5 mg/1,ORAL
71335-0368-5,Carvedilol,12.5 mg/1,ORAL
71335-0368-6,Carvedilol,12.5 mg/1,ORAL
71335-0368-7,Carvedilol,12.5 mg/1,ORAL
76385-110-50,Carvedilol,3.125 mg/1,ORAL
68382-094-01,Carvedilol,12.5 mg/1,ORAL
50090-5115-1,Carvedilol,12.5 mg/1,ORAL
50090-2066-0,Carvedilol,3.125 mg/1,ORAL
50090-2066-1,Carvedilol,3.125 mg/1,ORAL
50090-2066-2,Carvedilol,3.125 mg/1,ORAL
50090-2066-3,Carvedilol,3.125 mg/1,ORAL
60760-234-60,Carvedilol,12.5 mg/1,ORAL
76385-113-01,Carvedilol,25 mg/1,ORAL
51655-397-26,Carvedilol,25 mg/1,ORAL
63187-946-30,Carvedilol,6.25 mg/1,ORAL
51079-931-20,Carvedilol,12.5 mg/1,ORAL
70518-1377-2,Carvedilol,3.125 mg/1,ORAL
70518-1377-3,Carvedilol,3.125 mg/1,ORAL
76385-113-50,Carvedilol,25 mg/1,ORAL
0615-7944-30,Carvedilol,3.125 mg/1,ORAL
0615-7944-39,Carvedilol,3.125 mg/1,ORAL
0615-7945-30,Carvedilol,12.5 mg/1,ORAL
0615-7945-39,Carvedilol,12.5 mg/1,ORAL
0615-7946-30,Carvedilol,25 mg/1,ORAL
0615-7946-39,Carvedilol,25 mg/1,ORAL
71335-0561-1,Carvedilol,6.25 mg/1,ORAL
71335-0561-2,Carvedilol,6.25 mg/1,ORAL
71335-0561-3,Carvedilol,6.25 mg/1,ORAL
71335-0561-4,Carvedilol,6.25 mg/1,ORAL
71335-0561-5,Carvedilol,6.25 mg/1,ORAL
71335-0561-6,Carvedilol,6.25 mg/1,ORAL
71335-0561-7,Carvedilol,6.25 mg/1,ORAL
71335-0561-8,Carvedilol,6.25 mg/1,ORAL
71610-063-30,Carvedilol,6.25 mg/1,ORAL
50090-5115-0,Carvedilol,12.5 mg/1,ORAL
55111-252-01,Carvedilol,3.125 mg/1,ORAL
51407-039-05,Carvedilol,3.125 mg/1,ORAL
51407-041-01,Carvedilol,12.5 mg/1,ORAL
68462-163-01,Carvedilol,6.25 mg/1,ORAL
68462-164-10,Carvedilol,12.5 mg/1,ORAL
68462-165-01,Carvedilol,25 mg/1,ORAL
68462-165-60,Carvedilol,25 mg/1,ORAL
68071-4495-3,Carvedilol,12.5 mg/1,ORAL
68071-4495-6,Carvedilol,12.5 mg/1,ORAL
68071-4495-8,Carvedilol,12.5 mg/1,ORAL
68071-4495-9,Carvedilol,12.5 mg/1,ORAL
68462-163-18,Carvedilol,6.25 mg/1,ORAL
68462-164-05,Carvedilol,12.5 mg/1,ORAL
68462-165-18,Carvedilol,25 mg/1,ORAL
68001-151-03,Carvedilol,12.5 mg/1,ORAL
68001-153-03,Carvedilol,3.125 mg/1,ORAL
43353-837-80,Carvedilol,3.125 mg/1,ORAL
43353-838-30,Carvedilol,6.25 mg/1,ORAL
55154-7278-0,Carvedilol,25 mg/1,ORAL
71335-0034-1,Carvedilol,3.125 mg/1,ORAL
0904-6300-61,Carvedilol,3.125 mg/1,ORAL
0904-6301-61,Carvedilol,6.25 mg/1,ORAL
0904-6302-61,Carvedilol,12.5 mg/1,ORAL
0904-6303-61,Carvedilol,25 mg/1,ORAL
0378-3631-01,Carvedilol,3.125 mg/1,ORAL
0378-3631-05,Carvedilol,3.125 mg/1,ORAL
0378-3632-01,Carvedilol,6.25 mg/1,ORAL
0378-3632-05,Carvedilol,6.25 mg/1,ORAL
0378-3633-01,Carvedilol,12.5 mg/1,ORAL
0378-3633-05,Carvedilol,12.5 mg/1,ORAL
0378-3634-01,Carvedilol,25 mg/1,ORAL
0378-3634-05,Carvedilol,25 mg/1,ORAL
50090-2175-0,Carvedilol,6.25 mg/1,ORAL
50090-2175-1,Carvedilol,6.25 mg/1,ORAL
76385-111-01,Carvedilol,6.25 mg/1,ORAL
55700-819-18,Carvedilol,6.25 mg/1,ORAL
55700-819-90,Carvedilol,6.25 mg/1,ORAL
43063-833-60,Carvedilol,6.25 mg/1,ORAL
65862-142-05,Carvedilol,3.125 mg/1,ORAL
65862-144-99,Carvedilol,12.5 mg/1,ORAL
65862-145-01,Carvedilol,25 mg/1,ORAL
68071-4956-6,Carvedilol,25 mg/1,ORAL
68071-4974-3,Carvedilol,3.125 mg/1,ORAL
63187-570-90,Carvedilol,3.125 mg/1,ORAL
68071-4980-6,Carvedilol,3.125 mg/1,ORAL
68788-9789-6,Carvedilol,6.25 mg/1,ORAL
58118-0163-8,Carvedilol,6.25 mg/1,ORAL
0781-5221-01,Carvedilol,3.125 mg/1,ORAL
0781-5222-01,Carvedilol,6.25 mg/1,ORAL
0781-5223-01,Carvedilol,12.5 mg/1,ORAL
0781-5224-01,Carvedilol,25 mg/1,ORAL
68645-351-59,Carvedilol,12.5 mg/1,ORAL
72888-034-00,Carvedilol,3.125 mg/1,ORAL
72888-034-01,Carvedilol,3.125 mg/1,ORAL
68071-4600-3,Carvedilol,6.25 mg/1,ORAL
68071-4600-6,Carvedilol,6.25 mg/1,ORAL
68071-4600-8,Carvedilol,6.25 mg/1,ORAL
68071-4600-9,Carvedilol,6.25 mg/1,ORAL
50090-1064-0,Carvedilol,6.25 mg/1,ORAL
50090-1064-1,Carvedilol,6.25 mg/1,ORAL
50090-1064-4,Carvedilol,6.25 mg/1,ORAL
60760-376-60,Carvedilol,6.25 mg/1,ORAL
60760-494-60,Carvedilol,12.5 mg/1,ORAL
60760-532-60,Carvedilol,6.25 mg/1,ORAL
68645-496-59,Carvedilol,25 mg/1,ORAL
72888-034-05,Carvedilol,3.125 mg/1,ORAL
72888-034-30,Carvedilol,3.125 mg/1,ORAL
72888-035-00,Carvedilol,6.25 mg/1,ORAL
72888-035-01,Carvedilol,6.25 mg/1,ORAL
72888-035-05,Carvedilol,6.25 mg/1,ORAL
72888-035-30,Carvedilol,6.25 mg/1,ORAL
72888-036-00,Carvedilol,12.5 mg/1,ORAL
72888-036-01,Carvedilol,12.5 mg/1,ORAL
72888-036-05,Carvedilol,12.5 mg/1,ORAL
72888-036-30,Carvedilol,12.5 mg/1,ORAL
72888-037-00,Carvedilol,25 mg/1,ORAL
72888-037-01,Carvedilol,25 mg/1,ORAL
72888-037-05,Carvedilol,25 mg/1,ORAL
50090-1069-0,Carvedilol,25 mg/1,ORAL
50090-1069-1,Carvedilol,25 mg/1,ORAL
61919-219-30,Carvedilol,3.125 mg/1,ORAL
61919-219-90,Carvedilol,3.125 mg/1,ORAL
50090-1069-3,Carvedilol,25 mg/1,ORAL
50090-1069-4,Carvedilol,25 mg/1,ORAL
61919-728-30,Carvedilol,12.5 mg/1,ORAL
61919-728-90,Carvedilol,12.5 mg/1,ORAL
61919-730-30,Carvedilol,25 mg/1,ORAL
61919-730-60,Carvedilol,25 mg/1,ORAL
61919-730-90,Carvedilol,25 mg/1,ORAL
71335-0034-4,Carvedilol,3.125 mg/1,ORAL
71335-0034-5,Carvedilol,3.125 mg/1,ORAL
65862-144-01,Carvedilol,12.5 mg/1,ORAL
61919-984-90,Carvedilol,6.25 mg/1,ORAL
63187-447-90,Carvedilol,12.5 mg/1,ORAL
68788-9265-9,Carvedilol,25 mg/1,ORAL
50090-2119-1,Carvedilol,25 mg/1,ORAL
70786-0144-1,Carvedilol,12.5 mg/1,ORAL
0615-8387-39,Carvedilol,3.125 mg/1,ORAL
0615-8388-30,Carvedilol,6.25 mg/1,ORAL
0615-8388-39,Carvedilol,6.25 mg/1,ORAL
0615-8389-30,Carvedilol,12.5 mg/1,ORAL
0615-8389-39,Carvedilol,12.5 mg/1,ORAL
0615-8390-30,Carvedilol,25 mg/1,ORAL
0615-8390-39,Carvedilol,25 mg/1,ORAL
55154-6884-0,Carvedilol,6.25 mg/1,ORAL
55154-6885-0,Carvedilol,12.5 mg/1,ORAL
72888-037-30,Carvedilol,25 mg/1,ORAL
63187-409-30,Carvedilol,25 mg/1,ORAL
68788-9265-1,Carvedilol,25 mg/1,ORAL
51407-039-01,Carvedilol,3.125 mg/1,ORAL
51407-041-05,Carvedilol,12.5 mg/1,ORAL
51407-042-05,Carvedilol,25 mg/1,ORAL
55111-252-10,Carvedilol,3.125 mg/1,ORAL
55111-253-30,Carvedilol,6.25 mg/1,ORAL
55111-253-78,Carvedilol,6.25 mg/1,ORAL
55111-254-01,Carvedilol,12.5 mg/1,ORAL
55111-255-78,Carvedilol,25 mg/1,ORAL
71610-062-53,Carvedilol,3.125 mg/1,ORAL
71610-063-60,Carvedilol,6.25 mg/1,ORAL
63187-570-30,Carvedilol,3.125 mg/1,ORAL
50090-2175-2,Carvedilol,6.25 mg/1,ORAL
50090-2175-3,Carvedilol,6.25 mg/1,ORAL
50090-2175-4,Carvedilol,6.25 mg/1,ORAL
50090-2555-0,Carvedilol,12.5 mg/1,ORAL
50090-2555-1,Carvedilol,12.5 mg/1,ORAL
50090-2555-3,Carvedilol,12.5 mg/1,ORAL
63629-4060-1,Carvedilol,3.125 mg/1,ORAL
63629-4060-2,Carvedilol,3.125 mg/1,ORAL
63629-4060-3,Carvedilol,3.125 mg/1,ORAL
63629-4060-4,Carvedilol,3.125 mg/1,ORAL
63629-4060-5,Carvedilol,3.125 mg/1,ORAL
63629-4060-6,Carvedilol,3.125 mg/1,ORAL
63629-4070-1,Carvedilol,25 mg/1,ORAL
63629-4070-2,Carvedilol,25 mg/1,ORAL
63629-4070-3,Carvedilol,25 mg/1,ORAL
63629-4070-4,Carvedilol,25 mg/1,ORAL
63629-4070-5,Carvedilol,25 mg/1,ORAL
63629-4070-6,Carvedilol,25 mg/1,ORAL
43353-837-60,Carvedilol,3.125 mg/1,ORAL
43063-125-93,Carvedilol,12.5 mg/1,ORAL
43063-126-93,Carvedilol,3.125 mg/1,ORAL
71610-066-80,Carvedilol,12.5 mg/1,ORAL
71610-067-80,Carvedilol,25 mg/1,ORAL
71610-063-80,Carvedilol,6.25 mg/1,ORAL
68084-854-01,Carvedilol,6.25 mg/1,ORAL
43353-838-53,Carvedilol,6.25 mg/1,ORAL
43353-874-30,Carvedilol,12.5 mg/1,ORAL
68001-151-00,Carvedilol,12.5 mg/1,ORAL
68001-152-03,Carvedilol,25 mg/1,ORAL
68001-154-03,Carvedilol,6.25 mg/1,ORAL
68071-4470-3,Carvedilol,25 mg/1,ORAL
68071-4470-6,Carvedilol,25 mg/1,ORAL
68071-4470-9,Carvedilol,25 mg/1,ORAL
70518-0356-0,Carvedilol,12.5 mg/1,ORAL
43353-832-09,Carvedilol,25 mg/1,ORAL
65841-617-05,Carvedilol,6.25 mg/1,ORAL
65841-618-17,Carvedilol,12.5 mg/1,ORAL
76385-110-01,Carvedilol,3.125 mg/1,ORAL
76385-112-01,Carvedilol,12.5 mg/1,ORAL
63187-946-90,Carvedilol,6.25 mg/1,ORAL
63187-570-60,Carvedilol,3.125 mg/1,ORAL
63187-946-60,Carvedilol,6.25 mg/1,ORAL
68382-094-05,Carvedilol,12.5 mg/1,ORAL
0615-8387-30,Carvedilol,3.125 mg/1,ORAL
55154-6883-0,Carvedilol,3.125 mg/1,ORAL
50090-2555-4,Carvedilol,12.5 mg/1,ORAL
55111-252-78,Carvedilol,3.125 mg/1,ORAL
55111-255-30,Carvedilol,25 mg/1,ORAL
71610-067-60,Carvedilol,25 mg/1,ORAL
71610-132-60,Carvedilol,3.125 mg/1,ORAL
68788-7458-1,Carvedilol,3.125 mg/1,ORAL
68788-7458-3,Carvedilol,3.125 mg/1,ORAL
68788-7458-6,Carvedilol,3.125 mg/1,ORAL
68788-7458-8,Carvedilol,3.125 mg/1,ORAL
68788-7458-9,Carvedilol,3.125 mg/1,ORAL
51079-930-20,Carvedilol,6.25 mg/1,ORAL
68788-7539-1,Carvedilol,12.5 mg/1,ORAL
68788-7539-3,Carvedilol,12.5 mg/1,ORAL
68788-7539-6,Carvedilol,12.5 mg/1,ORAL
68788-7539-9,Carvedilol,12.5 mg/1,ORAL
43353-832-80,Carvedilol,25 mg/1,ORAL
43353-838-60,Carvedilol,6.25 mg/1,ORAL
43353-838-80,Carvedilol,6.25 mg/1,ORAL
43353-874-60,Carvedilol,12.5 mg/1,ORAL
43353-874-80,Carvedilol,12.5 mg/1,ORAL
68788-7603-1,Carvedilol,6.25 mg/1,ORAL
68788-7603-3,Carvedilol,6.25 mg/1,ORAL
68788-7603-6,Carvedilol,6.25 mg/1,ORAL
68788-7603-8,Carvedilol,6.25 mg/1,ORAL
68788-7603-9,Carvedilol,6.25 mg/1,ORAL
63187-941-30,Carvedilol,3.125 mg/1,ORAL
68788-9789-1,Carvedilol,6.25 mg/1,ORAL
68788-9789-9,Carvedilol,6.25 mg/1,ORAL
70518-1377-0,Carvedilol,3.125 mg/1,ORAL
55154-5675-0,Carvedilol,12.5 mg/1,ORAL
71335-1813-1,Carvedilol,12.5 mg/1,ORAL
76385-111-50,Carvedilol,6.25 mg/1,ORAL
71335-1813-2,Carvedilol,12.5 mg/1,ORAL
71335-1813-3,Carvedilol,12.5 mg/1,ORAL
71335-1813-4,Carvedilol,12.5 mg/1,ORAL
71335-1813-5,Carvedilol,12.5 mg/1,ORAL
71335-1813-6,Carvedilol,12.5 mg/1,ORAL
55111-254-05,Carvedilol,12.5 mg/1,ORAL
55111-255-01,Carvedilol,25 mg/1,ORAL
51407-042-01,Carvedilol,25 mg/1,ORAL
70934-653-30,Carvedilol,25 mg/1,ORAL
70934-653-90,Carvedilol,25 mg/1,ORAL
65841-619-17,Carvedilol,25 mg/1,ORAL
0093-0051-01,Carvedilol,3.125 mg/1,ORAL
0093-0051-05,Carvedilol,3.125 mg/1,ORAL
0093-0135-01,Carvedilol,6.25 mg/1,ORAL
0093-0135-05,Carvedilol,6.25 mg/1,ORAL
68382-092-17,Carvedilol,3.125 mg/1,ORAL
68382-095-01,Carvedilol,25 mg/1,ORAL
70518-0426-4,Carvedilol,6.25 mg/1,ORAL
70518-0582-1,Carvedilol,3.125 mg/1,ORAL
70518-1377-1,Carvedilol,3.125 mg/1,ORAL
70518-1826-0,Carvedilol,25 mg/1,ORAL
70518-1826-1,Carvedilol,25 mg/1,ORAL
70518-1826-2,Carvedilol,25 mg/1,ORAL
60760-233-60,Carvedilol,6.25 mg/1,ORAL
63187-131-30,Carvedilol,25 mg/1,ORAL
63187-131-60,Carvedilol,25 mg/1,ORAL
55111-254-78,Carvedilol,12.5 mg/1,ORAL
55111-255-05,Carvedilol,25 mg/1,ORAL
70518-2389-0,Carvedilol,25 mg/1,ORAL
68462-163-10,Carvedilol,6.25 mg/1,ORAL
51079-932-20,Carvedilol,25 mg/1,ORAL
55154-5676-0,Carvedilol,25 mg/1,ORAL
55154-5678-0,Carvedilol,6.25 mg/1,ORAL
43353-832-60,Carvedilol,25 mg/1,ORAL
51407-040-05,Carvedilol,6.25 mg/1,ORAL
70934-211-60,Carvedilol,12.5 mg/1,ORAL
70934-406-30,Carvedilol,25 mg/1,ORAL
68462-164-60,Carvedilol,12.5 mg/1,ORAL
70934-515-30,Carvedilol,12.5 mg/1,ORAL
70934-515-60,Carvedilol,12.5 mg/1,ORAL
70934-515-90,Carvedilol,12.5 mg/1,ORAL
70934-516-30,Carvedilol,3.125 mg/1,ORAL
70934-516-60,Carvedilol,3.125 mg/1,ORAL
70934-517-30,Carvedilol,6.25 mg/1,ORAL
70934-517-60,Carvedilol,6.25 mg/1,ORAL
70934-609-30,Carvedilol,3.125 mg/1,ORAL
70934-609-60,Carvedilol,3.125 mg/1,ORAL
70934-609-96,Carvedilol,3.125 mg/1,ORAL
70934-686-30,Carvedilol,6.25 mg/1,ORAL
70934-686-60,Carvedilol,6.25 mg/1,ORAL
70934-686-90,Carvedilol,6.25 mg/1,ORAL
70934-686-96,Carvedilol,6.25 mg/1,ORAL
70934-707-60,Carvedilol,12.5 mg/1,ORAL
70934-707-90,Carvedilol,12.5 mg/1,ORAL
70934-707-96,Carvedilol,12.5 mg/1,ORAL
70934-753-96,Carvedilol,25 mg/1,ORAL
70934-759-60,Carvedilol,25 mg/1,ORAL
70934-759-90,Carvedilol,25 mg/1,ORAL
68382-094-17,Carvedilol,12.5 mg/1,ORAL
68382-095-17,Carvedilol,25 mg/1,ORAL
53002-1556-0,Carvedilol,6.25 mg/1,ORAL
53002-1556-3,Carvedilol,6.25 mg/1,ORAL
53002-1572-0,Carvedilol,3.125 mg/1,ORAL
53002-1572-3,Carvedilol,3.125 mg/1,ORAL
53002-1573-0,Carvedilol,12.5 mg/1,ORAL
53002-1573-3,Carvedilol,12.5 mg/1,ORAL
53002-1574-0,Carvedilol,25 mg/1,ORAL
53002-1574-3,Carvedilol,25 mg/1,ORAL
43063-129-30,Carvedilol,25 mg/1,ORAL
43063-129-93,Carvedilol,25 mg/1,ORAL
50090-4171-3,Carvedilol,25 mg/1,ORAL
70934-707-30,Carvedilol,12.5 mg/1,ORAL
71335-1937-1,Carvedilol,6.25 mg/1,ORAL
71335-1937-2,Carvedilol,6.25 mg/1,ORAL
71335-1937-3,Carvedilol,6.25 mg/1,ORAL
71335-1937-4,Carvedilol,6.25 mg/1,ORAL
71335-1937-5,Carvedilol,6.25 mg/1,ORAL
71335-1937-6,Carvedilol,6.25 mg/1,ORAL
71335-1937-7,Carvedilol,6.25 mg/1,ORAL
63187-447-30,Carvedilol,12.5 mg/1,ORAL
